tm,actual,pred,ci_low,ci_high,rolling
2025-07-07,93374,87066.72335103332,79844.18411869017,94942.59849679991,91462.75555371743
2025-07-08,95675,89623.93446513236,82185.69207004253,97735.37737158324,94316.6482923954
2025-07-09,92685,89484.9494993891,82050.04358709109,97593.56408395675,93460.8925711076
2025-07-10,90717,88322.38492354772,80977.68134144417,96333.25564967588,90047.14314743853
2025-07-11,87206,84906.94562499136,77841.18805702614,92614.07225804181,86593.20724184098
2025-07-12,77144,73217.43685579662,67120.6637192933,79867.99835818146,74950.88193305579
2025-07-13,71975,69490.27569765467,63700.62758843479,75806.13565905855,72518.33501761884
2025-07-14,80116,78557.74521151934,72009.24866372945,85701.75980500737,80450.25100330956
2025-07-15,78825,78388.49569333585,71850.91348123392,85520.92046357942,79570.76123429424
2025-07-16,82918,78096.2131647876,71575.76060514885,85210.66991275823,78041.2125506455
2025-07-17,82505,78975.06978748231,72375.43928206981,86176.49453746197,81973.18668413011
2025-07-18,81588,78039.87489808317,71513.6505899245,85161.67226633678,80712.58387260731
2025-07-19,70401,67614.88168062207,61956.90096384705,73789.55618442298,70102.44662191853
2025-07-20,73579,69270.38372503579,63470.5831474449,75600.15716677513,71388.0502623252
2025-07-21,86584,82371.06159390495,75470.75776586938,89902.2613388321,85689.0854278962
2025-07-22,88890,84292.81148738773,77228.0108597666,92003.8984475504,87173.51310604741
2025-07-23,89515,84291.28790944685,77218.69519830664,92011.67151538545,88051.33227618955
2025-07-24,91379,86328.99125839691,79078.98792729147,94243.67871962006,89664.16944488946
2025-07-25,90528,87088.19793843012,79769.05215486948,95078.90610807764,91083.19768578745
2025-07-26,82821,78063.04803736674,71498.21007605104,85230.6576962185,80423.49589410839
2025-07-27,82696,77351.35549509448,70842.62406828074,84458.08262496916,81268.00858351846
2025-07-28,90985,89645.92268590859,82098.63996774757,97887.02294416809,93924.43212595988
2025-07-29,90991,90888.42602157459,83232.67127508376,99248.35834449701,92104.18761380229
2025-07-30,87806,90487.32240335616,82856.74682044439,98820.62511424348,90832.9393676759
2025-07-31,86203,91274.18513554228,83570.35400998482,99688.18453445681,89187.94942239612
2025-08-01,85678,88951.75240777148,81438.35260198457,97158.32901340713,85697.00359868976
2025-08-02,80532,77991.77687876722,71399.85841976681,85192.28742648922,76460.52246302691
2025-08-03,76329,73678.80353008608,67447.78484300789,80485.46149084964,75934.9414709166
2025-08-04,86074,85771.38118838391,78513.76386943321,93699.87462576813,87372.48085274032
2025-08-05,87891,86950.56484999505,79589.39390079136,94992.56568227266,87085.90774669069
2025-08-06,87801,85353.33990152311,78119.17216141915,93257.42235582582,85601.23661344641
