tm,actual,arimax_oneshot,ci_low,ci_high,sarima_oneshot,naive,snaive,arimax_rolling
2025-07-14,80116,82029.3254291346,72298.6329373228,91760.01792094638,79502.00661578798,71975,93374,81800.39814091292
2025-07-15,78825,80453.64727507292,70721.44556757816,90185.84898256767,79456.44192910739,80116,95675,80558.1612678355
2025-07-16,82918,79212.55350564435,69424.51385299525,89000.59315829344,78301.83822114996,78825,92685,78287.64231546909
2025-07-17,82505,80845.96117309776,71028.96266459458,90662.95968160094,80037.87709879426,82918,90717,82342.04305106128
2025-07-18,81588,80875.92461038179,71043.19518702936,90708.65403373422,79332.82014842988,82505,87206,81101.28575343854
2025-07-19,70401,69042.97230003662,59201.63405595919,78884.31054411405,69233.22257503355,81588,77144,71777.28944161285
2025-07-20,73579,70177.23040388727,60331.139128918556,80023.32167885598,68157.98046404716,70401,71975,71389.93042674223
2025-07-21,86584,83886.13244981738,74037.38826203758,93734.87663759718,79577.04328413442,73579,80116,84931.23174319966
2025-07-22,88890,83890.02687951096,74039.78199074253,93740.27176827939,79531.47859745382,86584,78825,86728.36902402145
2025-07-23,89515,83061.02138212524,73155.54027304245,92966.50249120803,78376.8748894964,88890,82918,88231.66372641461
2025-07-24,91379,85539.00435257713,75604.86124816863,95473.14745698564,80112.9137671407,89515,82505,89079.1547873363
2025-07-25,90528,87233.41701343356,77283.69500654619,97183.13902032093,79407.85681677632,91379,81588,90638.17271594002
2025-07-26,82821,77209.76709278548,67251.51315916434,87168.02102640661,69308.25924337999,90528,70401,81456.80171341602
2025-07-27,82696,76664.82948466568,66701.8605834709,86627.79838586046,68233.0171323936,82821,73579,81683.97034407753
2025-07-28,90985,89307.70786366216,79342.10421879719,99273.31150852713,79652.07995248085,82696,86584,92810.81205275934
2025-07-29,90991,88835.74758038709,78868.6513690404,98802.84379173379,79606.51526580026,90985,88890,91655.02484885474
2025-07-30,87806,87768.435274637,77746.68393132166,97790.18661795233,78451.91155784283,90991,89515,91058.8718499091
2025-07-31,86203,89479.45486793396,79429.32815499372,99529.5815808742,80187.95043548713,87806,91379,89039.69896198275
2025-08-01,85678,88335.99922247024,78270.44030404522,98401.55814089527,79482.89348512275,86203,90528,85099.2027585287
2025-08-02,80532,77153.58205558166,67079.56534906477,87227.59876209855,69383.29591172643,85678,82821,77482.56416249946
2025-08-03,76329,73930.37967770883,63851.68464898671,84009.07470643095,68308.05380074003,80532,82696,77481.08905377367
2025-08-04,86074,86412.69946946981,76331.38714609084,96494.01179284877,79727.11662082729,76329,90985,86710.49689088973
2025-08-05,87891,85688.52685951468,75605.72974618271,95771.32397284664,79681.5519341467,86074,90991,86748.3061347286
2025-08-06,87801,83956.71654450371,73819.82588725467,94093.60720175275,78526.94822618927,87891,87806,86273.03323074336
2025-08-07,87053,84742.0534000519,74577.06432487478,94907.04247522901,80262.98710383357,87801,86203,86124.89217659009
2025-08-08,84820,83102.94691555042,72922.6673078308,93283.22652327004,79557.93015346919,87053,85678,84071.46759881834
2025-08-09,72350,70276.34355212108,60087.677691219804,80465.00941302234,69458.33258007286,84820,80532,74603.6545422921
2025-08-10,73104,69377.20461728558,59183.895740227665,79570.51349434348,68383.09046908647,72350,76329,71674.80352393586
2025-08-11,85071,82217.76642634072,72021.85702394415,92413.6758287373,79802.15328917373,73104,86074,83346.16149451649
2025-08-12,85223,81393.3363126896,71195.94955938453,91590.72306599467,79756.58860249314,85071,87891,85096.02210749387
2025-08-13,85279,81432.50483169549,71181.56767295783,91683.44199043316,78601.98489453571,85223,87801,85516.51409563754
2025-08-14,84685,83027.15156164036,72748.38378157726,93305.91934170347,80338.02377218001,85279,87053,84809.46323597454
2025-08-15,80573,77208.06509996226,66914.14370584865,87501.98649407587,79632.96682181563,84685,84820,77897.43900904512
2025-08-16,78156,72420.41261542052,62118.174039612175,82722.65119122886,69533.3692484193,80573,72350,77149.73647837879
2025-08-17,78493,71793.76784774805,61486.92029526213,82100.61540023398,68458.12713743291,78156,73104,77178.42782435658
2025-08-18,91911,85696.29708076561,75386.8651299598,96005.72903157142,79877.18995752017,78493,85071,89511.55503478469
2025-08-19,93346,85179.38517083072,74868.4829896202,95490.28735204124,79831.62527083958,91911,85223,91309.79695582997
2025-08-20,93164,84098.64904335767,73734.7221189727,94462.57596774264,78677.02156288215,93346,85279,91199.6995116526
2025-08-21,94599,86192.73398226628,75801.235558998,96584.23240553455,80413.06044052645,93164,84685,91690.55269020147
2025-08-22,93253,86631.32691655177,76224.80729318818,97037.84653991536,79708.00349016207,94599,80573,92928.80788741674
2025-08-23,83469,75679.41108253274,65264.64101559566,86094.1811494698,69608.40591676574,93253,78156,83190.98845873581
2025-08-24,83069,75267.45239996469,64848.106196681474,85686.79860324791,68533.16380577935,83469,78493,82474.09844243315
2025-08-25,95951,88281.42450415443,77859.50942191473,98703.33958639414,79952.2266258666,83069,91911,93516.01414384866
2025-08-26,91434,84848.62558822213,74425.24709508,95272.00408136426,79906.66193918601,95951,93346,92600.49470230532
2025-08-27,88503,82626.21345815195,72150.31931099278,93102.10760531112,78752.05823122858,91434,93164,89177.24042916977
2025-08-28,91396,85237.53376564337,74734.31901433541,95740.74851695132,80488.09710887288,88503,94599,89263.6904280041
2025-08-29,91742,85983.70944017766,75465.60163022495,96501.81725013036,79783.0401585085,91396,93253,90614.01878731343
2025-08-30,81144,74420.6749581729,63894.38123014916,84946.96868619663,69683.44258511218,91742,83469,81331.098041784
2025-08-31,78152,72418.62647305403,61887.788312450626,82949.46463365744,68608.20047412578,81144,83069,78962.68599713553
2025-09-01,89532,84838.51153669879,74305.11944099239,95371.90363240518,80027.26329421304,78152,95951,89163.48659787771
2025-09-02,87098,82728.08293826292,72193.23396641944,93262.93191010639,79981.69860753245,89532,91434,87913.81784550367
